,player,player_id,birth_date,height_weight,batting_hand,throwing_hand,position
376,함덕주,63248,1995-01-13,"181cm, 78kg",좌타,좌투,P
377,이승진,64805,1995-01-07,"186cm, 88kg",우타,우투,P
378,쿠에바스,69032,1990-10-14,"188cm, 98kg",양타,우투,P
379,문승원,62869,1989-11-28,"183cm, 85kg",우타,우투,P
380,전유수,75340,1986-11-29,"185cm, 95kg",좌타,우투,P
381,이창재,65057,1992-12-29,"178cm, 71kg",좌타,좌투,P
382,유원상,76757,1986-06-17,"187cm, 93kg",우타,우투,P
383,신재웅,75138,1982-03-28,"181cm, 85kg",좌타,좌투,P
384,김민,68043,1999-04-14,"185cm, 88kg",우타,우투,P
385,이태양,60768,1990-07-03,"192cm, 97kg",좌타,우투,P
386,한현희,62363,1993-06-25,"182cm, 98kg",우타,우언,P
387,홍정우,65496,1996-03-16,"182cm, 85kg",우타,우투,P
388,이재익,63492,1994-03-18,"180cm, 76kg",좌타,좌투,P
389,권오준,99445,1980-03-09,"182cm, 80kg",우타,우언,P
390,박주성,69328,2000-11-09,"181cm, 95kg",우타,우투,P
391,조성운,63348,1989-10-02,"185cm, 88kg",우타,우투,P
392,김윤식,50157,2000-04-03,"181cm, 83kg",좌타,좌투,P
393,서폴드,69744,1990-01-16,"188cm, 101kg",우타,우투,P
394,박세웅,64021,1995-11-30,"183cm, 79kg",우타,우투,P
